"","Kingdom","Phylum","Class","Order","Family","Genus","Species","unique"
"ASV1863","d__Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"e2932f932c9fa3052e9383310bc5d333"
"ASV1898","d__Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"eae7cae274d19d868c37e9bc6565654f"
"ASV1925","d__Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Psychrobacter",NA,"fb9971c30b09f7794d8e24fd0b034ee6"
"ASV1929","d__Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Psychrobacter",NA,"401aac6281357dd223dfe4daa6007821"
"ASV1946","d__Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella","uncultured_bacterium","98b28f591735143275f98be7297ac9d3"
"ASV2134","d__Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella",NA,"7a06e54316de4acd5fef5b1b04f15208"
"ASV2167","d__Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas",NA,"d2a4512afeacefee25fbe1d6dcc87c78"
"ASV2373","d__Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium_sensu_stricto_5",NA,"a56a1dc0a1a3fda54500ed3cb57ed801"
"ASV2872","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Carnobacterium",NA,"a8f1a3718288263e9f9c24427b47bd87"
"ASV3752","d__Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Rothia",NA,"a7f8f462c3e2dd07ec9b3db454121a6b"
